;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Déficits du RG+FSV, ONDAM à 2,4%;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Trajectoire 2/amélioration du solde;;;;;;;;;;;;;;;;;;;
;Déficit RG + FSV;-40.2;-35.8;-31.6;-27.700000000000003;-25.0;-23.3;-20.3;-16.9;-13.8;-9.899999999999999;-5.4;;;;;;;;
;dette reprise par l'Etat;-40.2;-35.8;-16.0;;;;;;;;;;;;;;;;
;dette reprise par la CADES (trajectoire -);;;-15.6;-27.700000000000003;-25.0;-23.3;-0.40000000000000036;;;;;;;;;;;;
;à décider (trajectoire -);;;;;;;-20.700000000000003;-16.9;-13.8;-9.899999999999999;-5.4;;;;;;;;
;Trajectoire + / Ondam +3%;;;;;;;;;;;;;;;;;;;
;Déficit RG + FSV;-40.2;-35.8;-31.6;-29.9;-30.7;-31.1;-32.0;-31.0;-31.9;-31.9;-30.9;;;;;;;;
;dont repris par l'Etat;-40.2;-35.8;-16.0;;;;;;;;;;;;;;;;
;dont repris par la CADES;0;0.0;-15.599999999999994;-29.9;-30.7;-15.800000000000004;;;;;;;;;;;;;
;dont à décider;;;;;;-15.299999999999997;-32.0;-31.0;-31.9;-31.9;-30.9;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;0;0.0;-15.599999999999994;-44.19999999999999;-71.19999999999999;-97.69999999999999;-123.0;-146.5;-168.10000000000002;-187.5;-204.3;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;0;0.0;-15.6;-43.30000000000001;-68.30000000000001;-91.60000000000002;-111.90000000000003;-128.80000000000004;-142.60000000000005;-152.50000000000006;-157.90000000000006;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;0;0.0;-15.599999999999994;-45.5;-76.19999999999999;-107.29999999999998;-139.29999999999998;-170.29999999999995;-202.19999999999993;-234.0999999999999;-264.9999999999999;;;;;;;;
